msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
Always ask,'',Always ask,Always ask,Always ask,INCOMPLETE (ALL),
Always hide infobar,'','','','',EMPTY (ALL),
Always include ECM in recordings,'',,'',,EMPTY (SOME),
"Always include ECM messages in recordings. This overrides the individual timer settings globally. It allows recordings to be always decrypted afterwards (sometimes called offline decoding), if supported by your receiver. Default: off.",'',,'',,EMPTY (SOME),
American Samoa,'',,'','',EMPTY (SOME),
An empty filename is illegal.,'',An empty filename is illegal.,An empty filename is illegal.,An empty filename is illegal.,INCOMPLETE (ALL),
An error occurred while downloading the packetlist. Please try again.,'',An error occurred while downloading the packetlist. Please try again.,An error occurred while downloading the packetlist. Please try again.,An error occurred while downloading the packetlist. Please try again.,INCOMPLETE (ALL),
An unknown error occurred!,'',An unknown error occurred!,An unknown error occurred!,An unknown error occurred!,INCOMPLETE (ALL),
And will put your receiver in standby over ,,,'',,SOLITARY,
Andorra,'',,'','',EMPTY (SOME),
Angola,'',,'','',EMPTY (SOME),
Anguilla,'',,'','',EMPTY (SOME),
Antarctica,'',,'','',EMPTY (SOME),
Antigua and Barbuda,'',,'','',EMPTY (SOME),
Any activity,'',Any activity,Any activity,Any activity,INCOMPLETE (ALL),
Arabic,Arabi,Arabi,Arabi,Arabi,CONSISTENT (ALL),
Are you sure to purge all deleted user bouquets?,,,'',,SOLITARY,
Are you sure to reboot to,,,'',,SOLITARY,
Are you sure to remove all %d.%d%s%s services?,'',,'',,EMPTY (SOME),
Are you sure to remove all cable services?,'',,'',,EMPTY (SOME),
Are you sure to remove all terrestrial services?,'',,'',,EMPTY (SOME),
Are you sure to remove this entry?,,,'',,SOLITARY,
Are you sure you want to activate this network configuration?\n\n,'',Are you sure you want to activate this network configuration?\n\n,Are you sure you want to activate this network configuration?\n\n,Are you sure you want to activate this network configuration?\n\n,INCOMPLETE (ALL),
Are you sure you want to delete\nthe following backup:\n,'',Are you sure you want to delete\nthe following backup:\n,Are you sure you want to delete\nthe following backup:\n,Are you sure you want to delete\nthe following backup:\n,INCOMPLETE (ALL),
Are you sure you want to exit this wizard?,'',Are you sure you want to exit this wizard?,Are you sure you want to exit this wizard?,Are you sure you want to exit this wizard?,INCOMPLETE (ALL),
Are you sure you want to restart your network interfaces?\n\n,'',Are you sure you want to restart your network interfaces?\n\n,Are you sure you want to restart your network interfaces?\n\n,Are you sure you want to restart your network interfaces?\n\n,INCOMPLETE (ALL),
Are you sure you want to restore\nthe following backup:\n%s\nYour receiver will restart after the backup has been restored!,'',Are you sure you want to restore\nthe following backup:\n%s\nYour receiver will restart after the backup has been restored!,Are you sure you want to restore\nthe following backup:\n%s\nYour receiver will restart after the backup has been restored!,Are you sure you want to restore\nthe following backup:\n%s\nYour receiver will restart after the backup has been restored!,INCOMPLETE (ALL),
Are you sure you want to restore the backup?\nYour receiver will restart after the backup has been restored!,'',Are you sure you want to restore the backup?\nYour receiver will restart after the backup has been restored!,Are you sure you want to restore the backup?\nYour receiver will restart after the backup has been restored!,Are you sure you want to restore the backup?\nYour receiver will restart after the backup has been restored!,INCOMPLETE (ALL),
Argentina,'',,'','',EMPTY (SOME),
Armenia,'',,'','',EMPTY (SOME),
Artist,'',Artist,Artist,Artist,INCOMPLETE (ALL),
Arts/Culture,Sanat u Kultur,Sanat u Kultur,Sanat u Kultur,Sanat u Kultur,CONSISTENT (ALL),
Aruba,'',,'','',EMPTY (SOME),
As defined by the skin,,,'',,SOLITARY,
Ask user,Xebatkar Pirski,Xebatkar Pirski,Xebatkar Pirski,Xebatkar Pirski,CONSISTENT (ALL),
Aspect ratio,'',Aspect ratio,Aspect ratio,Aspect ratio,INCOMPLETE (ALL),
Assigned CAIds:,'',Assigned CAIds:,Assigned CAIds:,Assigned CAIds:,INCOMPLETE (ALL),
Assigned services/provider:,'',Assigned services/provider:,Assigned services/provider:,Assigned services/provider:,INCOMPLETE (ALL),
At beginning,,,At beginning,,SOLITARY,
At end,,,At end,,SOLITARY,
"Attention, this is repeated timer!\n",,,'','',EMPTY (SOME),
"Attention, this is repeated timer!\nWhat do you want to do?",,,'',,SOLITARY,
Audio,'',,Deng,,INCOMPLETE (SOME),
Audio / Video,,,'',,SOLITARY,
Audio PID,Deng PID,Deng PID,Deng PID,Deng PID,CONSISTENT (ALL),
"Audio PID%s, codec & lang",,,'',,SOLITARY,
"Audio PID, codec & lang",,,'',,SOLITARY,
Audio auto volume level,,,'',,SOLITARY,
Audio language selection 1,Dengé ziman  1,Dengé ziman  1,Dengé ziman  1,Dengé ziman  1,CONSISTENT (ALL),
Audio language selection 2,Dengé ziman 2,Dengé ziman 2,Dengé ziman 2,Dengé ziman 2,CONSISTENT (ALL),
Audio language selection 3,Dengé ziman 3,Dengé ziman 3,Dengé ziman 3,Dengé ziman 3,CONSISTENT (ALL),
Audio language selection 4,Dengé ziman 4,Dengé ziman 4,Dengé ziman 4,Dengé ziman 4,CONSISTENT (ALL),
Audio options...,Eyaré deng...,Eyaré deng...,Eyaré deng...,Eyaré deng...,CONSISTENT (ALL),
Audio plugins,,,'',,SOLITARY,
Audio track (%s) format,,Deng track (%s) format,Deng track (%s) format,Deng track (%s) format,CONSISTENT (SOME),
Audio track (%s) language,,Deng track (%s) language,Deng track (%s) language,Deng track (%s) language,CONSISTENT (SOME),
Audio volume step size,,,'',,SOLITARY,
