msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
As defined by the skin,,,'',,SOLITARY,
Ask user,ask user,Ask user,Ask user,Ask user,MISMATCH (ALL),capitalisation
Aspect ratio,'',Aspect ratio,Aspect ratio,Aspect ratio,INCOMPLETE (ALL),
Assigned CAIds:,'',Assigned CAIds:,Assigned CAIds:,Assigned CAIds:,INCOMPLETE (ALL),
Assigned services/provider:,'',Assigned services/provider:,Assigned services/provider:,Assigned services/provider:,INCOMPLETE (ALL),
At beginning,,,At beginning,,SOLITARY,
At end,,,At end,,SOLITARY,
"Attention, this is repeated timer!\n",,,'','',EMPTY (SOME),
"Attention, this is repeated timer!\nWhat do you want to do?",,,'',,SOLITARY,
Audio,'',,Audio,,INCOMPLETE (SOME),
Audio / Video,,,'',,SOLITARY,
Audio PID,'',Audio PID,Audio PID,Audio PID,INCOMPLETE (ALL),
"Audio PID%s, codec & lang",,,'',,SOLITARY,
"Audio PID, codec & lang",,,'',,SOLITARY,
Audio auto volume level,,,'',,SOLITARY,
Audio language selection 1,Audio language 1,Audio language selection 1,Audio language selection 1,Audio language selection 1,MISMATCH (ALL),
Audio language selection 2,Audio language 2,Audio language selection 2,Audio language selection 2,Audio language selection 2,MISMATCH (ALL),
Audio language selection 3,Audio language 3,Audio language selection 3,Audio language selection 3,Audio language selection 3,MISMATCH (ALL),
Audio language selection 4,Audio language 4,Audio language selection 4,Audio language selection 4,Audio language selection 4,MISMATCH (ALL),
Audio options...,'',Audio options...,Audio options...,Audio options...,INCOMPLETE (ALL),
Audio plugins,,,'',,SOLITARY,
Audio track (%s) format,,Audio track (%s) format,Audio track (%s) format,Audio track (%s) format,UNCHANGED (SOME),
Audio track (%s) language,,Audio track (%s) language,Audio track (%s) language,Audio track (%s) language,UNCHANGED (SOME),
Audio volume step size,Volume step size,,'',,INCOMPLETE (SOME),
Author: ,'',Author: ,Author: ,Author: ,INCOMPLETE (ALL),
Authoring mode,'',Authoring mode,Authoring mode,Authoring mode,INCOMPLETE (ALL),
Auto,'',Auto,Auto,Auto,INCOMPLETE (ALL),
Auto Diseqc,,,'',,SOLITARY,
Auto EXIF Orientation rotation/flipping,,,'','',EMPTY (SOME),
Auto chapter split every ? minutes (0=never),Auto chapter split every # minutes (0: never),Auto chapter split every ? minutes (0=never),Auto chapter split every ? minutes (0=never),Auto chapter split every ? minutes (0=never),MISMATCH (ALL),
Auto flesh,Automatic flesh tone,Auto flesh,Auto flesh,Auto flesh,MISMATCH (ALL),
Auto focus,'',Auto focus,Auto focus,Auto focus,INCOMPLETE (ALL),
Auto focus commencing ...,Auto focus in progress...,Auto focus commencing ...,Auto focus commencing ...,Auto focus commencing ...,MISMATCH (ALL),
Auto language selection,Audio/EPG Language Settings,Auto language selection,Auto language selection,,MISMATCH (SOME),
Auto play blu-ray file,,,'','',EMPTY (SOME),
Auto scart switching,'',Auto scart switching,Auto scart switching,Auto scart switching,INCOMPLETE (ALL),
Autoinstalling please wait for packages being updated,,,'',,SOLITARY,
Automatic,'',Automatic,Automatic,Automatic,INCOMPLETE (ALL),
Automatic Scan,'',Automatic Scan,'',Automatic Scan,INCOMPLETE (ALL),
Automatic scan,'',Automatic scan,Automatic scan,Automatic scan,INCOMPLETE (ALL),
Automatically start timeshift after,'',Automatically start timeshift after,Automatically start timeshift after,Automatically start timeshift after,INCOMPLETE (ALL),
Automatically turn on external subtitles,Automatically load external subtitles,Automatically turn on external subtitles,Automatically turn on external subtitles,Automatically turn on external subtitles,MISMATCH (ALL),
Available format variables,'',Available format variables,Available format variables,Available format variables,INCOMPLETE (ALL),
Azerbaijan,'',,'','',EMPTY (SOME),
B,'',B,B,B,INCOMPLETE (ALL),
BER,,,BER,,SOLITARY,
BER:,'',,BER:,'',INCOMPLETE (SOME),
BT 2020 CL,'',,'','',EMPTY (SOME),
BT 2020 NCL,'',,'','',EMPTY (SOME),
BT 709,'',,'','',EMPTY (SOME),
Back,'',Back,Back,Back,INCOMPLETE (ALL),
Background,'',Background,Background,Background,INCOMPLETE (ALL),
Background color,'',Background color,Background color,Background color,INCOMPLETE (ALL),
Background delete option,'',Background delete option,Background delete option,Background delete option,INCOMPLETE (ALL),
Background delete speed,'',Background delete speed,Background delete speed,Background delete speed,INCOMPLETE (ALL),
Backing up to: %s,,,'',,SOLITARY,
Backup completed.,Backup complete!,Backup completed.,Backup completed.,Backup completed.,MISMATCH (ALL),
Backup failed.,'',Backup failed.,Backup failed.,Backup failed.,INCOMPLETE (ALL),
Backup is running...,Backing up...,Backup is running...,Backup is running...,Backup is running...,MISMATCH (ALL),
